Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Clear Hose Tube Pipe","Enables transferring water into/out of the system.",,0.32,"https://makerselectronics.com/product/clear-hose-tube-pipe-6mmx4mm-1-meter/","Makers Electronics"
"Arduino Uno Rev3","The main brain that controls the system. ",1,28.48,"https://makerselectronics.com/product/arduino-uno-rev3-designed-and-assembled-in-italy/","	Makers Electronics"
"Solder-able Breadboard","Holds connections",1,3.00,"https://makerselectronics.com/product/osepp-solder-able-breadboard/","Makers Electronics"
"Jumper wires","Connecting components through breadboard.",120,2.50,"https://www.amazon.eg/-/en/ELEGOO-Multicolored-Breadboard-Compatible-Projects/dp/B01EV70C78/ref=sr_1_2?crid=K277OGNVV493&dib=eyJ2IjoiMSJ9.-BAVrbXGzgk8o0WldW_NBDkfsHhQLaKfnnMxPs3w62r67Oq06YV1hFhutN_8xUw0dQHRCbblU6t_Qe0JNRDqWRfv0syyvMqjWtpvQ_2J9XpR2Ma5rs4JKNdmA5hWlLL3Uw8ofTQiPESXpZuvQzN-DgioQSFzGfwxeklINz3hHIrC6ZtYQCUYYwnz8P8e7zoMyx-oqFS5SpgWZiRJZgLmyNQJ_-pr4-EHPDZ0XQ4cpKlXniC5hYnAtME_XgQrmoBzgU9Z6pnMz-zwzQ16l6-x8sDanIJyIpMlJfhhvR7Fx0Q.wm4yBhnIkH0LtfetWx_Ppa7aaUQKOinkWD2pVVowbR0&dib_tag=se&keywords=Jumpers+kit&qid=1776971522&sprefix=jumpers+kit%2Caps%2C234&sr=8-2","Amazon.eg"
"Sponge Filter Pads","Curing and filtering drained out water so it can be reused.",1,20.87,"https://www.amazon.eg/-/en/Bukela-Aquarium-Reusable-Filters-Filtering/dp/B0FBRVPPZF/ref=sr_1_19?crid=CDIMPFFSHBH7&dib=eyJ2IjoiMSJ9.S9gkR64eQkHuEh2F1HVR_Xow8K6cRTg4feY-4kSvTRJ9I1AMBlgoNRnsaYOa5TEirHMkO8l72Gh1_F0Og3CVFC7Ful8COjWEMrglObTYzLnwQaz6nOwQgJoXb8pXqNyKDdgyOpOOUIud96eeZY0Cx4tmuoa6_q8c5TUM_JzGfkFHr2Fw8_oNjLrNauhx8QedBfdo1odhceB-D0QqhAw0WSryuRjiN94e1KRc8vzppO6sybkgZYNu7-addBsqrXUEyIJO0uDevYYtvOET912fy-WhTcAXzKyVJ1PH3VSCAR4.FJe4Jtq7ZK7rDtE3iF6EejAIGzJbWlofslCyMg3JkX8&dib_tag=se&keywords=fish+tank+filter+sponge&qid=1776971108&sprefix=fish+tank+filter+sponge+%2Caps%2C161&sr=8-19","Amazon.eg"
"Activated Charcoal Carbon Pellets bag","Curing and filtering drained out water so it can be reused.",1,20.89,"https://www.amazon.eg/-/en/gp/product/B07KPQ4RPY/ref=ewc_pr_img_1?smid=A29EIP580Q1AVP&psc=1","Amazon.eg"
"Power Supply 12V 3A","Provides the system with adequate power (Current & Voltage).",1,4.00,"https://makerselectronics.com/product/ab36w-12-power-supply-12v-3a/","Makers Electronics	"
"Relay Module 12V","Control high voltage devices (pump, valve, and aerator), depending on the Arduino signals. ",3,5.77,"https://www.amazon.eg/-/en/gp/product/B091J9T9HL/ref=ewc_pr_img_1?smid=A22MDF17B7GE04&psc=1","Amazon.eg"
"Aerator Oxygen Pump","Feeds the water with oxygen as well as stabilizing pH levels. ",1,9.31,"https://www.amazon.eg/-/en/VAYINATO-Electricals-Silent-Aerator-Oxygen/dp/B09GG6PHGM/ref=sr_1_9?crid=2ANOEREAZUQYI&dib=eyJ2IjoiMSJ9.gkjdhTItZiNnxtpZiP9m6SEjqSXgmcDaD_aRbdNAKAMcz39BXxbUav4C9aDq51zrvrmGD4hjvXfBVzRj1a9FUOAD_qjrHkqF2ksPq0ptGZtxSB6eeCSweDiqcUyIiLRxs427rrsoyAHqVl5946DudSELlaMEt4wdSb1hzvnvUEAEKS0KFQtRwA7NciZ1YsWv13Wp0WQUUsz4hwuI0Fy7gWUJjnf3rAmaEgrBMHmc8N1RrPlMXLv6goPe1vtGbOt-BuCrL4PHeW5waxgmCz-Z0ZENWRTI_7xsMTVnR9Fhy8g.sjPY2gAd8GjP85xShwBFTDoEG-pzPYJV20MOPcx3EaI&dib_tag=se&keywords=Aquarium%2BAir%2BPump&qid=1775335706&sprefix=aquarium%2Bair%2Bpump%2Caps%2C194&sr=8-9&th=1","Amazon.eg"
"Water Solenoid Valve 12V","Drains contaminated water out of the system. ",1,6.80,"https://www.amazon.eg/-/en/gp/product/B0DD7WXYCD/ref=ewc_pr_img_2?smid=A2DMKAT7ZKLGQN&psc=1","Amazon.eg"
"12V DC Water Pump","Pumps clean water into the system.",1,16.90,"https://www.amazon.eg/-/en/Ultra-Quiet-Brushless-Water-Pump/dp/B0FF3FHY3K/ref=sr_1_6?crid=7097T88VXEXB&dib=eyJ2IjoiMSJ9.C0VD1HZjpmISpSZ-ybuSaFIjJJj17oGhOqB7gVSHpE0jqnBqeZV-OXoMlFQxzh6Zy3vJ0qYKiNPoxfhiET9uv6UZw8tihC12ePXA_dzKy1Ck1QNXgbaTuiZOA6__7dppFvJ09E_80REwJUixZFG528NYI6c0n-vKwp7tuBRjBz_NjHHQgQuoZgurvxccQoXeeLBfkMqw4vtJ_Nc7R1gaFlk0a4ByHjEUQkW-3ooC5ghi5JdAV4p7i2Q_hiTrWDsIkpnPh35OKuWxAhkvBFU2gNJlnel6POUT19QjNlkbvR0.sRCmq4l3Oy7CPPUUmafjvt5JmwOVo5XULVDhRLVvH9A&dib_tag=se&keywords=Water+Pump+JT-750-12Vdc+Brushless+Submerged+DC+Pump+700L%2FH&qid=1776946245&refinements=p_36%3A-150000&rnid=21909190031&sprefix=water+pump+jt-750-12vdc+brushless+submerged+dc+pump+700l%2Fh%2Caps%2C167&sr=8-6","Amazon.eg"
"20x4 LCD I2C Module","Displaying real-time readings for monitoring. ",1,4.25,"https://www.amazon.eg/-/en/ZHITING-Serial-Module-Arduino-Mega2560/dp/B0859YY2NZ/ref=sr_1_2?crid=VU02XNZ7SY9P&dib=eyJ2IjoiMSJ9.ICKIUaWSon-17myU7OX_R5WF3vD3lptDtbnHYazaoqqI6XS9ymm-ZKeoAnhDbl6k_TVWuBstND4PWY870iTiHPxRr0iaRICtHTfJckEbNqDd1DKkWa7pSH0dbNErU0YnZ3CzYVnSrXcg1I1KxoJ4cdq2vu_0Spt5ygl7ectG9R4iEUXsbZJoZHqMSqRWdoNMjLY3R_yyCuyUbWQEmgAHi34QODWgns5EyO9xcAeRFzzyx2j950JXVQ6P_B1wSFLnYIsd69m1aqNfg5X5Kd-o1tYE5ClT4hdz2o8sgo_DNbc.8KDsWDeFIIdyz0RpyhgilnB38pyQomRwYRseOthN8Q0&dib_tag=se&keywords=I2C+LCD+20x4&qid=1776945247&sprefix=i2c+lcd+20x4%2Caps%2C189&sr=8-2","Amazon.eg"
"Turbidity Sensor with Board Module","An Analog sensor that measures water clarity by detecting suspended particles indicating water contamination levels.",1,8.55,"https://makerselectronics.com/product/turbidity-sensor-with-board-module/","Makers Electronics"
"Analog TDS Sensor Module","An Analog sensor that measures total dissolved solids (ppm) indicating water purity and salinity levels.",1,18.99,"https://www.amazon.eg/-/en/gp/product/B0G5ZR48Z2/ref=ewc_pr_img_4?smid=A1G5VPUVPXBMQ6&psc=1","Amazon.eg"
"pH Sensor ","An Analog sensor that measures the acidity/alkalinity and transmits the readings to the main processor.",1,47.48,"https://www.amazon.eg/-/en/gp/product/B0FZXWKD55/ref=ewc_pr_img_6?smid=A1VBR36Z5ID8VD&psc=1","Amazon.eg"
"~10L Fish Tank","The main enclosure and body, and simulating an aquatic environment.",1,75.00,"https://www.amazon.eg/-/en/gp/product/B091DXLBPS/ref=ewc_pr_img_1?smid=A17KADTUM4QTZ9&psc=1","Amazon.eg"
